id,score
0,0.999548755909269
1,0.0002568088981900814
2,0.13725084621804096
3,0.000474221954188702
4,0.4876729851531478
5,0.03151866879147347
6,0.021322318192691973
7,0.6569203784745672
8,0.0003864419214880716
9,0.028003576635703027
10,7.088329420306961e-05
11,0.9994659373673813
12,0.9998704162837054
13,0.07690671717332703
14,0.2523931214810534
15,0.9999422736442072
16,0.15094045275552773
17,0.9983836700433376
18,0.9990496116835864
19,0.6971487610200146
20,9.209367606761885e-05
21,0.002283486575007459
22,0.0027770236752086936
23,0.47870012331235867
24,0.01570600601311749
25,0.0058604574272419704
26,0.15798862273459616
27,0.3307911462153228
28,0.9992688624273456
29,0.003554393063992903
30,0.013674383828671925
31,0.6579572195522327
32,0.9994357604813109
33,0.00018509444736083437
34,0.9997440387119436
35,0.23396336354748634
36,0.010156696108794307
37,0.8884240511449809
38,0.014478042847218481
39,0.0038814305569749206
40,0.9991943495064869
41,0.9998959088428638
42,0.10252122653026054
43,0.8125925700443966
44,0.08181195414674743
45,0.25653871642686205
46,0.9999691528149475
47,0.8528166615759503
48,0.9922936229777242
49,0.2574165230427731
50,0.012669853308140057
51,0.999620369007414
52,0.002038810360548417
53,0.7270527950902061
54,0.008352605025989245
55,0.14629142847949436
56,0.6513350742885236
57,0.061498286341824006
58,0.0003320009346944961
59,0.0038804539721871813
60,0.9424172369559409
61,0.04280535495919094
62,0.6655598327905525
63,0.5762696864713841
64,0.019397362390998617
65,0.341999320417481
66,0.0481778679060188
67,0.6147353517721081
68,0.0005752807874962875
69,0.850745605545641
70,0.6116947297461549
71,0.00025080460334087735
72,0.7834430564865531
73,0.045966976005250355
74,0.15789003433147356
75,0.5676422291716474
76,0.6545410657328115
77,0.13627398595239756
78,0.04038819925519152
79,0.11792541446400621
80,0.004346321981088089
81,0.47029152824520126
82,0.002489542023123255
83,0.07896712014207971
84,0.40447926543005497
85,0.9997861987105239
86,0.021181686282284933
87,0.3291998776377623
88,0.9991818355879741
89,0.9999282706469728
90,0.009768227702953856
91,0.23457870609547976
92,0.22275611466347556
93,0.7836023814792794
94,0.05800479775218312
95,0.2831256075427188
96,0.005250797294503957
97,0.05201529028962644
98,0.5433498652571113
99,0.00024029844182052007
100,0.0002908190842482409
101,0.5027505664869569
102,0.9999270451740746
103,0.08181984000134908
104,0.999814928456154
105,0.726408494350742
